Date,Station I (Central West Bay),Station II (East Bay),Station IV (Central Bay) ,Station V (Northern West Bay),Station VIII (South Bay) ,Station XV (San Pedro),Station XVI (Sta. Rosa),Station XVII (Sanctuary),Station XVIII (Pagsanjan) ,,mean 
Jan-16,0.057,0.15,0.053,0.097,0.208,0.115,0.011,0.064,0.038,,0.088111111
Feb-16,0.051,0.057,0.036,0.018,0.006,0.027,0.008,0.014,0.024,,0.026777778
Mar-16,0.045,0.264,0.019,0.133,0.22,0.169,0.027,0.092,0.01,,0.108777778
Apr-16,0.152,0.085,0.129,0.083,0.094,0.088,0.081,0.058,0.068,,0.093111111
May-16,0.236,0.081,0.05,0.349,0.055,0.074,0.054,0.079,0.056,,0.114888889
Jun-16,0.063,0.092,0.051,0.336,0.054,0.067,0.042,0.047,0.031,,0.087
Jul-16,0.025,0.015,0.034,0.067,0.031,0.073,0.039,0.028,0.001,,0.034777778
Aug-16,0.313,0.181,0.183,0.12,0.069,0.07,0.033,0.025,0.256,,0.138888889
Sep-16,0.076,0.048,0.073,0.029,0.001,0.001,0.011,0.005,0.013,,0.028555556
Oct-16,0.055,0.045,0.034,0.236,0.008,0.181,0.22,0.093,0.1,,0.108
Nov-16,0.065,0.32,0.052,0.048,0.032,0.155,0.002,0.045,0.049,,0.085333333
Dec-16,0.077,0.024,0.027,0.012,0.013,0.001,0.001,0.013,0.001,,0.018777778
Jan-17,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001
Feb-17,0.16,0.572,0.091,0.074,0.065,0.034,0.001,0.04,0.033,,0.118888889
Mar-17,0.009,0.1,0.033,0.046,0.024,0.023,0.034,0.023,0.25,,0.060222222
Apr-17,0.111,0.038,0.03,0.048,0.048,0.062,0.047,0.051,0.073,,0.056444444
May-17,0.143,0.008,0.026,0.404,0.041,0.022,0.043,0.016,0.019,,0.080222222
Jun-17,0.23,0.02,0.027,0.028,0.001,0.026,0.003,0.001,0.016,,0.039111111
Jul-17,0.058,0.07,0.053,0.844,0.047,0.056,0.103,0.048,0.059,,0.148666667
Aug-17,0.099,0.089,0.047,0.025,0.026,0.023,0.031,0.03,0.021,,0.043444444
Sep-17,0.001,0.003,0.012,0.039,0.001,0.001,0.004,0.001,0.005,,0.007444444
Oct-17,0.054,0.037,0.022,0.032,0.061,0.043,0.038,0.031,0.03,,0.038666667
Nov-17,0.131,0.059,0.045,0.045,0.038,0.036,0.028,0.028,0.021,,0.047888889
Dec-17,0.022,0.016,0.091,0.017,0.001,0.007,0.004,0.023,0.008,,0.021
Jan-18,0.221,0.529,0.029,0.027,0.011,0.006,0.027,0.006,0.012,,0.096444444
Feb-18,0.016,0.043,0.011,0.036,0.175,0.007,0.001,0.001,0.001,,0.032333333
Mar-18,0.654,0.062,0.015,0.01,0.016,0.017,0.022,0.01,0.021,,0.091888889
Apr-18,0.031,0.008,0.025,0.285,0.035,0.025,0.008,0.011,0.018,,0.049555556
May-18,0.022,0.045,0.08,0.055,0.027,0.054,0.041,0.041,0.024,,0.043222222
Jun-18,0.067,0.036,0.011,0.062,0.016,0.008,0.005,0.008,0.005,,0.024222222
Jul-18,0.043,0.055,0.001,0.002,0.001,0.001,0.001,0.046,0.001,,0.016777778
Aug-18,0.088,0.036,0.061,0.023,0.001,0.009,0.008,0.05,0.014,,0.032222222
Sep-18,0.011,0.061,0.066,0.001,0.001,0.003,0.001,0.002,0.014,,0.017777778
Oct-18,0.05,0.031,0.023,0.021,0.026,0.017,0.021,0.025,0.013,,0.025222222
Nov-18,0.033,0.017,0.015,0.015,0.038,0.011,0.001,0.016,0.003,,0.016555556
Dec-18,0.053,0.011,0.028,0.039,0.027,0.026,0.028,0.02,0.023,,0.028333333
Jan-19,0.04,0.06,0.08,0.04,0.06,0.08,0.05,0.05,0.07,,0.058888889
Feb-19,0.02,0.03,0.02,0.38,0.02,0.01,0.01,0.05,0.02,,0.062222222
Mar-19,0.29,0.03,0.04,0.14,0.05,0.04,0.04,0.03,0.02,,0.075555556
Apr-19,0.086,0.018,0.017,0.042,0.02,0.015,0.012,0.005,0.014,,0.025444444
May-19,0.207,0.271,0.065,0.0655,0.117,0.52,0.1,0.079,0.094,,0.168722222
Jun-19,0.112,0.073,0.044,0.049,0.036,0.03,0.034,0.028,0.048,,0.050444444
Jul-19,0.271,0.045,0.04,1.54,0.062,0.057,0.06,0.043,0.038,,0.239555556
Aug-19,0.36,0.077,0.071,0.065,0.035,0.062,0.053,0.042,0.039,,0.089333333
Sep-19,0.051,0.067,0.06,0.029,0.038,0.04,0.016,0.05,0.037,,0.043111111
Oct-19,0.143,0.062,0.051,0.125,0.023,0.067,0.005,0.005,0.005,,0.054
Nov-19,0.18,0.04,0.209,0.111,0.052,0.135,0.014,0.027,0.029,,0.088555556
Dec-19,0.012,0.021,0.038,0.01,0.021,0.032,0.021,0.012,0.1,,0.029666667
Jan-20,0.118,0.113,0.118,0.081,0.058,0.043,0.05,0.095,0.04,,0.079555556
Feb-20,0.158,0.048,0.113,0.027,0.027,0.028,0.03,0.036,0.026,,0.054777778
Mar-20,0.222,0.067,0.083,0.078,0.034,0.04,0.055,0.04,0.042,,0.073444444
Apr-20,0.194833333,0.067,0.079166667,0.070666667,0.030666667,0.034166667,0.046666667,0.034166667,0.037666667,,0.066111111
May-20,0.167666667,0.067,0.075333333,0.063333333,0.027333333,0.028333333,0.038333333,0.028333333,0.033333333,,0.058777778
Jun-20,0.1405,0.067,0.0715,0.056,0.024,0.0225,0.03,0.0225,0.029,,0.051444444
Jul-20,0.113333333,0.067,0.067666667,0.048666667,0.020666667,0.016666667,0.021666667,0.016666667,0.024666667,,0.044111111
Aug-20,0.086166667,0.067,0.063833333,0.041333333,0.017333333,0.010833333,0.013333333,0.010833333,0.020333333,,0.036777778
Sep-20,0.059,0.067,0.06,0.034,0.014,0.005,0.005,0.005,0.016,,0.029444444
